序号,英文,中文释义,,
1,irrational,不理性的,,
2,omnipresent,无所不在的，普遍存在的,,
3,formulaic,俗套的，老套的,,
4,displace,替代，取代,,
5,unattainable,达不到的，不可获得的,,
6,topple,推翻，颠覆,,
7,accessible,可以理解的，易懂的,,
8,instrumental,有帮助的，有助于……的,,
9,misguided,由错误的判断所导致的，不明智的,,
10,evasive,搪塞的，推诿的，含糊其辞的，逃跑的，躲避的,,
11,intuitive,凭直觉的，本能的,,
12,counterintuitive,违反直觉的，不合常理的,,
13,uncanny,惊人的，非凡的,,
14,comprehensible,可理解的，易懂的,,
15,comprehensive,广泛的，无所不包的，综合的,,
16,solemn,严肃的，庄重的，庄严的,,
17,exile,流放，放逐，流亡,,
18,spotlight,公众注意的焦点,,
19,trigger,引起，引发,,
20,chastise,严厉批评，责骂,,
21,timid,胆小的，不自信的,,
22,chauvinistic,沙文主义的，过分偏袒自己所属群体的,,
23,list,倾斜，侧倾,,
24,gradient,变化率，梯度变化曲线,,
25,clamorous,吵闹的，喧嚷的,,
26,cerebral,头脑的，智力的,,
27,discriminatory,歧视的，差别对待的,,
28,discriminating,有眼光的，有品位的，有鉴赏力的,,
29,indiscriminate,不加区分的，不加甄别的，胡乱的,,
30,explicable,可解释的，可理解的,,
31,abbreviate,使简短，缩简，缩短,,
32,preventive,预防的，防止的,,
33,dismissal,不屑一顾，不予考虑,,
34,ornate,华丽的，精雕细琢的,,
35,ornamental,装饰性的,,
36,blessing,有益的事物，让人觉得感激的事物,,
37,precursor,前兆，先兆,,
38,settled,已确定的，不会改变的，定居的，稳定的，地位稳固的，毋庸置疑的,,
39,settlement,和解，协议，定居点，居住地，殖民地,,
40,backwater,停滞状态，死气沉沉的地方,,
41,bias,偏见，偏心，偏袒,,
42,lopsided,向一侧倾斜的，不平衡的,,
43,homogeneous,相同种类的，由相同成分组成的,,
44,de-emphasize,使显得不重要，贬低…的重要性,,
45,entail,需要，包含，涉及,,
46,stunning,令人震惊的，令人目瞪口呆的,,
47,accord,一致，和谐，统一,,
48,odds,可能性,,
49,give way to,被……所替代,,
50,crackling,才华横溢的，闪烁的，生气勃勃的,,
51,undeserved,不该受的，不应得的,,
52,ascribe,把…归因于……,,
53,tenet,信条，宗旨，原则,,
54,vacillation,犹豫不决，优柔寡断,,
55,hail,热情赞扬，向…欢呼，为…喝彩,,
56,intrigue,引起……的兴趣，阴谋，密谋，诡计,,
57,coherence,连贯性，前后一致,,
58,wistful,渴望的，思念的,,
59,limitation,局限性，缺陷，不足,,
60,ecosystem,【生】生态系,,
61,contemporary,当时的，同时期的，现代的，当代的，同时期的人，同时代的人,,
62,shackle,束缚,,
63,envisage,想像，设想,,
64,empower,使有权力,,
65,snapshot,快照,,
66,palpable,明显的，易懂的,,
67,overblown,过分吹嘘的，浮夸的,,
68,disregard,不理会，不顾,,
69,mirror,反映，体现,,
70,deprivation,缺乏，缺失,,
71,charge,赋予……职责，充电，使带电，指控，指责,,
72,irresistible,不可抵抗的，不可抗拒的,,
73,quizzical,诧异的，感到奇怪而好笑的,,
74,esoteric,神秘难懂的，只有内行才懂的,,
75,impartial,不偏不倚的，公正的，无偏见的,,
76,partiality,偏袒，偏颇,,
77,condone,宽恕，姑息，纵容,,
78,transmogrify,使发生出人意料的变化,,
79,yardstick,衡量标准，评价标准,,
80,dismal,阴暗的，阴沉的,,
81,fractious,易怒的，暴躁的，充满愤怒的，充满分歧的,,
82,arbitrary,随意的，主观的，没有客观依据的,,
83,domain,领域，范围,,
84,fickle,善变的，反复无常的,,
85,prototype,原型，样本，样品,,
86,hazard,危险,,
87,anathema,极为令人反感的事物,,
